Date,Ticker,Yfinance_Ticker,Trade,Shares
15/03/20,BND,BND,Buy,7
15/03/20,BNDX ,BNDX ,Buy,4
15/04/20,VOO,VOO,Buy,2
15/04/20,VEA,VEA,Buy,12
15/04/20,VWO,VWO,Buy,4
15/04/20,BND,BND,Buy,6
15/04/20,BNDX ,BNDX ,Buy,4
15/05/20,VOO,VOO,Buy,2
15/05/20,VEA,VEA,Buy,13
15/05/20,VWO,VWO,Buy,4
15/05/20,BND,BND,Buy,7
15/05/20,BNDX ,BNDX ,Buy,4
15/06/20,VOO,VOO,Buy,2
15/06/20,VEA,VEA,Buy,12
15/06/20,VWO,VWO,Buy,4
15/06/20,BND,BND,Buy,7
15/06/20,BNDX ,BNDX ,Buy,4
15/07/20,VOO,VOO,Buy,2
15/07/20,VEA,VEA,Buy,11
15/07/20,VWO,VWO,Buy,3
15/07/20,BND,BND,Buy,7
15/07/20,BNDX ,BNDX ,Buy,4
15/08/20,VOO,VOO,Buy,2
15/08/20,VEA,VEA,Buy,11
15/08/20,VWO,VWO,Buy,3
15/08/20,BND,BND,Buy,7
15/08/20,BNDX ,BNDX ,Buy,4
15/09/20,VOO,VOO,Buy,2
15/09/20,VEA,VEA,Buy,10
15/09/20,VWO,VWO,Buy,3
15/09/20,BND,BND,Buy,7
15/09/20,BNDX ,BNDX ,Buy,4
15/10/20,VOO,VOO,Buy,2
15/10/20,VEA,VEA,Buy,10
15/10/20,VWO,VWO,Buy,3
15/10/20,BND,BND,Buy,7
15/10/20,BNDX ,BNDX ,Buy,4
15/11/20,VOO,VOO,Buy,2
15/11/20,VEA,VEA,Buy,10
15/11/20,VWO,VWO,Buy,3
15/11/20,BND,BND,Buy,6
15/11/20,BNDX ,BNDX ,Buy,4
15/12/20,VOO,VOO,Buy,2
15/12/20,VEA,VEA,Buy,9
15/12/20,VWO,VWO,Buy,3
15/12/20,BND,BND,Buy,6
15/12/20,BNDX ,BNDX ,Buy,4
15/01/21,VOO,VOO,Buy,2
15/01/21,VEA,VEA,Buy,9
15/01/21,VWO,VWO,Buy,2
15/01/21,BND,BND,Buy,6
15/01/21,BNDX ,BNDX ,Buy,4
15/02/21,VOO,VOO,Buy,1
15/02/21,VEA,VEA,Buy,8
15/02/21,VWO,VWO,Buy,2
15/02/21,BND,BND,Buy,6
15/02/21,BNDX ,BNDX ,Buy,4
15/03/21,VOO,VOO,Buy,2
15/03/21,VEA,VEA,Buy,10
15/03/21,VWO,VWO,Buy,3
15/03/21,BND,BND,Buy,8
15/03/21,BNDX ,BNDX ,Buy,5
15/04/21,VOO,VOO,Buy,1
15/04/21,VEA,VEA,Buy,8
15/04/21,VWO,VWO,Buy,2
15/04/21,BND,BND,Buy,7
15/04/21,BNDX ,BNDX ,Buy,4
15/05/21,VOO,VOO,Buy,2
15/05/21,VEA,VEA,Buy,9
15/05/21,VWO,VWO,Buy,3
15/05/21,BND,BND,Buy,8
15/05/21,BNDX ,BNDX ,Buy,5
15/06/21,VOO,VOO,Buy,1
15/06/21,VEA,VEA,Buy,8
15/06/21,VWO,VWO,Buy,2
15/06/21,BND,BND,Buy,6
15/06/21,BNDX ,BNDX ,Buy,4
15/07/21,VOO,VOO,Buy,1
15/07/21,VEA,VEA,Buy,9
15/07/21,VWO,VWO,Buy,3
15/07/21,BND,BND,Buy,7
15/07/21,BNDX ,BNDX ,Buy,5
15/08/21,VOO,VOO,Buy,2
15/08/21,VEA,VEA,Buy,9
15/08/21,VWO,VWO,Buy,3
15/08/21,BND,BND,Buy,8
15/08/21,BNDX ,BNDX ,Buy,5
15/09/21,VOO,VOO,Buy,1
15/09/21,VEA,VEA,Buy,8
15/09/21,VWO,VWO,Buy,2
15/09/21,BND,BND,Buy,6
15/09/21,BNDX ,BNDX ,Buy,4
15/10/21,VOO,VOO,Buy,1
15/10/21,VEA,VEA,Buy,9
15/10/21,VWO,VWO,Buy,3
15/10/21,BND,BND,Buy,7
15/10/21,BNDX ,BNDX ,Buy,5
15/11/21,VOO,VOO,Buy,1
15/11/21,VEA,VEA,Buy,9
15/11/21,VWO,VWO,Buy,3
15/11/21,BND,BND,Buy,8
15/11/21,BNDX ,BNDX ,Buy,5
15/12/21,VOO,VOO,Buy,1
15/12/21,VEA,VEA,Buy,9
15/12/21,VWO,VWO,Buy,3
15/12/21,BND,BND,Buy,8
15/12/21,BNDX ,BNDX ,Buy,5
15/01/22,VOO,VOO,Buy,1
15/01/22,VEA,VEA,Buy,9
15/01/22,VWO,VWO,Buy,3
15/01/22,BND,BND,Buy,8
15/01/22,BNDX ,BNDX ,Buy,5
15/02/22,VOO,VOO,Buy,1
15/02/22,VEA,VEA,Buy,10
15/02/22,VWO,VWO,Buy,3
15/02/22,BND,BND,Buy,8
15/02/22,BNDX ,BNDX ,Buy,5
15/03/22,VOO,VOO,Buy,2
15/03/22,VEA,VEA,Buy,11
15/03/22,VWO,VWO,Buy,4
15/03/22,BND,BND,Buy,8
15/03/22,BNDX ,BNDX ,Buy,5
15/04/22,VOO,VOO,Buy,1
15/04/22,VEA,VEA,Buy,9
15/04/22,VWO,VWO,Buy,3
15/04/22,BND,BND,Buy,7
15/04/22,BNDX ,BNDX ,Buy,5
15/05/22,VOO,VOO,Buy,2
15/05/22,VEA,VEA,Buy,11
15/05/22,VWO,VWO,Buy,4
15/05/22,BND,BND,Buy,8
15/05/22,BNDX ,BNDX ,Buy,5
15/06/22,VOO,VOO,Buy,2
15/06/22,VEA,VEA,Buy,10
15/06/22,VWO,VWO,Buy,3
15/06/22,BND,BND,Buy,8
15/06/22,BNDX ,BNDX ,Buy,5
15/07/22,VOO,VOO,Buy,1
15/07/22,VEA,VEA,Buy,10
15/07/22,VWO,VWO,Buy,3
15/07/22,BND,BND,Buy,7
15/07/22,BNDX ,BNDX ,Buy,5
15/08/22,VOO,VOO,Buy,1
15/08/22,VEA,VEA,Buy,11
15/08/22,VWO,VWO,Buy,4
15/08/22,BND,BND,Buy,8
15/08/22,BNDX ,BNDX ,Buy,5
15/09/22,VOO,VOO,Buy,2
15/09/22,VEA,VEA,Buy,12
15/09/22,VWO,VWO,Buy,4
15/09/22,BND,BND,Buy,9
15/09/22,BNDX ,BNDX ,Buy,6
